,Name,Company,Year,Price,KMS_Driven,Fuel_Type,Transmission,Current Year,Age
0,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol,Manual,2021,14
1,Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel,Manual,2021,15
2,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000,28000,Petrol,Automatic,2021,7
3,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000,36000,Diesel,Manual,2021,7
4,Ford Figo,Ford,2012,175000,41000,Diesel,Automatic,2021,9
5,Hyundai Eon,Hyundai,2013,190000,25000,Petrol,Manual,2021,8
6,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000,24530,Diesel,Manual,2021,5
7,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000,60000,Petrol,Manual,2021,6
8,Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000,60000,Petrol,Automatic,2021,11
9,Maruti Suzuki Stingray VXi,Maruti,2015,315000,30000,Petrol,Manual,2021,6
10,Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000,32000,Petrol,Automatic,2021,7
11,Mahindra Scorpio SLE BS IV,Mahindra,2015,320000,48660,Diesel,Automatic,2021,6
12,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000,45000,Petrol,Manual,2021,14
13,Mahindra Jeep CL550 MDI,Mahindra,2006,425000,40,Diesel,Manual,2021,15
14,Audi A8,Audi,2017,1000000,4000,Petrol,Manual,2021,4
15,Audi Q7,Audi,2014,500000,16934,Diesel,Manual,2021,7
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Automatic,2021,5
17,Maruti Suzuki Alto 800,Maruti,2014,160000,35550,Petrol,Automatic,2021,7
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Manual,2021,5
19,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,Automatic,2021,5
20,Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000,39000,Petrol,Manual,2021,6
21,Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol,Automatic,2021,9
22,Hyundai i20 Sportz 1.2,Hyundai,2012,100000,55000,Petrol,Manual,2021,9
